E	03004000	-	Z axis homing failed; the task has been stopped.
E	03004001	-	The printer timed out waiting for the nozzle to cool down before homing.
E	03004002	-	Auto Bed Leveling failed; the task has been stopped.
E	03004005	-	The hotend cooling fan speed is abnormal.
E	03004006	-	The nozzle is clogged.
E	03004008	-	The AMS failed to change filament.
E	03004009	-	Homing XY axis failed.
E	0300400A	-	Mechanical resonance frequency identification failed.
E	0300400B	-	Internal communication exception
E	0300400C	-	The task was canceled.
E	0300400D	-	Resume failed after power loss.
E	0300400E	-	The motor self-check failed.
E	0300400F	-	The power supply voltage does not match the printer.
E	03004010	-	Nozzle offset calibration failed.
E	03004011	-	Flow Dynamics Calibration failed; please reinitiate printing or calibration.
E	03004013	-	Printing cannot be initiated while AMS is drying.
E	03004014	-	Homing Z axis failed: temperature control abnormality.
E	03004015	-	Nozzle clumping detection calibration failed. Please go to 'Assistant' for troubleshooting.
E	03004016	-	Nozzle cleaning failed. Please click the Assistant for troubleshooting.
E	0300401F	-	The hotend is not installed, and the toolhead cannot perform homing. Please install the hotend and then continue.
E	0300401F	H2D	The right hotend is not installed, and the toolhead cannot perform homing. Please install the hotend and then continue.
E	03004020	-	The nozzle presence detection failed. Please check the Assistant for details.
E	03004021	-	Nozzle offset calibration sensor signal abnormality detected. Please check the sensor and retry.
E	03004042	-	The Laser Safety Window is not properly installed. The task has been stopped.
E	03004044	-	The Flame Sensor is abnormal. The sensor may be short-circuited. Please troubleshoot the issue before starting a print job.
E	0300404B	-	Task aborted because the front door or top cover is open.
E	0300404D	-	The current temperature of the hotend, heatbed, or chamber is too high. Please wait for it to cool down to room temperature before restarting the task.
E	03004050	-	Liveview Camera calibration timeout; please restart the printer.
E	03004052	-	Blade Z-axis homing failed
E	03004057	-	Z-axis step loss detected. The task has stopped. Please check if there are any obstructions beneath the heatbed.
E	03004066	-	Calibration of motion precision failed.
E	03004067	-	Calibration result is over the threshold.
E	03004068	-	Step loss occurred during the motion accuracy enhancement process. Please try again.
E	03008000	-	Printing was paused for unknown reason. You can select 'Resume' to resume the print job.
E	03008001	-	Printing was paused by the user. You can select 'Resume' to continue printing.
E	03008002	-	First layer defects were detected by the Micro Lidar. Please check the quality of the printed model before continuing your print.
E	03008003	-	Spaghetti defects were detected by the AI Print Monitoring. Please check the quality of the printed model before continuing your print.
E	03008004	-	Filament ran out. Please load new filament.
E	03008005	-	Toolhead front cover fell off. Please remount the front cover and check to make sure your print is going okay.
E	03008006	-	The build plate marker was not detected. Please confirm the build plate is correctly positioned on the heatbed with all four corners aligned, and the marker is visible.
E	03008007	-	There was an unfinished print job when the printer lost power. If the model is still adhered to the build plate, you can try resuming the print job.
E	03008008	-	Nozzle temperature malfunction
E	03008009	-	Heatbed temperature malfunction
E	0300800A	-	A Filament pile-up was detected by AI Print Monitoring. Please clean filament from the waste chute.
E	0300800B	-	The cutter is stuck. Please make sure the cutter handle is out and check the filament sensor cable connection.
E	0300800C	-	Skipped step detected: auto-recover complete; please resume print and check if there are any layer shift problems.
E	0300800D	-	Detected that the extruder is not extruding normally. If the defects are acceptable, select 'Resume' to resume the print job.
E	0300800E	-	The print file is not available. Please check to see if the storage media has been removed.
E	0300800F	-	The door seems to be open, so printing was paused.
E	03008010	-	The hotend cooling fan speed is abnormal.
E	03008011	-	Detected build plate is not the same as the Gcode file. Please adjust slicer settings or use the correct plate.
E	03008013	-	Printing paused due to the pause command added to the printing file.
E	03008014	-	The nozzle is covered with filament, or the build plate is installed incorrectly. Please cancel this print and clean the nozzle or adjust the build plate according to the actual status. You can also select 'Resume' to resume the print job.
E	03008015	-	The filament on external spool has run out; please load new filament. If the filament is loaded, please select 'Resume'.
E	03008016	-	The nozzle is clogged with filament. Please cancel this print and clean the nozzle or select 'Resume' to resume the print job.
E	03008017	-	Foreign objects detected on heatbed. Please check and clean the heatbed. Then, select 'Resume' to resume the print job.
E	03008018	-	Chamber temperature malfunction.
E	03008019	-	No build plate is placed.
E	0300801A	-	Filament extrusion error; please check the assistant for troubleshooting. After resolving the issue, decide whether to cancel or resume the print job based on the actual print status.
E	0300801B	-	Nozzle temperature problem detected. Refer to Assistant to re-connect the hotend connector. POWER OFF the printer before this operation to avoid short circuits.
E	0300801C	-	The extrusion resistance is abnormal. The extruder may be clogged; please refer to the assistant. After trouble shooting, you can select 'Resume' to resume the print job.
E	0300801D	-	The extruder servo motor position sensor is malfunctioning. Please power off the printer first and check if the connection cable is loose.
E	0300801E	-	The extrusion motor is overloaded, please check the Assistant for details.
E	03008021	-	The nozzle may not be installed or not properly installed. Please ensure the nozzle is correctly installed before proceeding.
E	03008022	-	The heatbed may be obstructed while moving downward. Please clear any objects beneath the heatbed and check for any resistance or jamming during its movement.
E	03008028	-	Nozzle offset calibration sensor error. If using a single hotend or the calibration function is disabled, you may ignore this and continue printing; otherwise, it is recommended to check the sensor before proceeding.
E	03008041	-	Platform detection timeout: please restart the printer.
E	03008042	-	Task paused because the door or top cover is open.
E	03008042	P2S	Task paused because the door is open.
E	03008043	-	The laser module is abnormal.
E	03008044	-	Fire was detected inside the chamber.
E	03008045	-	Material detection timeout: please restart the printer.
E	03008046	-	Foreign object detect timeout: please restart the printer.
E	03008047	-	Quick-release lever detection time out: please restart the printer.
E	03008048	-	Laser Module unlock has timed out, and the task cannot proceed. Please restart the printer and try again.
E	03008049	-	The current plate is invalid.
E	0300804A	-	Emergency stop button improperly installed. Please reinstall according to the Wiki before proceeding.
E	0300804B	-	Task paused. The Laser Safety Window is open.
E	0300804E	-	This is a printing task. Please detach the Laser/Cutting Module from the Toolhead.
E	0300804F	-	The loading/unloading process is currently ongoing. Please stop the process or remove the laser/cutting module.
E	03008050	-	This device does not support the 40W Laser Module. Please remove it or replace it with a 10W Laser Module.
E	03008051	-	The cutting module has dropped or the cutting module cable is disconnected; please check the module.
